Year,Zone,Vaccine,# Immunized,# Eligible,% Coverage,95% CI,Year_Start,Gap_From_Target,Gap_Percentage_Points,Meets_Target,# Unvaccinated
2014-15,EASTERN,HBV - Dose 1,1411,1638,0.861,84.4-87.7,2014,0.08899999999999997,8.899999999999997,False,227
2014-15,EASTERN,HBV - Dose 2,1269,1638,0.775,75.4-79.4,2014,0.17499999999999993,17.499999999999993,False,369
2014-15,EASTERN,HPV - Dose 1,726,831,0.8740000000000001,84.9-89-5,2014,0.07599999999999985,7.5999999999999845,False,105
2014-15,EASTERN,HPV - Dose 2,707,831,0.851,82.5-87.3,2014,0.09899999999999998,9.899999999999999,False,124
2014-15,EASTERN,HPV - Dose 3,656,831,0.789,76.0-81.6,2014,0.16099999999999992,16.09999999999999,False,175
2014-15,CENTRAL,TDAP,3735,3998,0.934,92.6-94.1,2014,0.015999999999999903,1.5999999999999903,False,263
2014-15,CENTRAL,MEN-C-C,3789,3998,0.948,94.0-95.4,2014,0.0020000000000000018,0.20000000000000018,False,209
2014-15,CENTRAL,HBV - Dose 1,3448,3998,0.862,85.1-87.3,2014,0.08799999999999997,8.799999999999997,False,550
2014-15,CENTRAL,HBV - Dose 2,2768,3998,0.6920000000000001,67.8-70.6,2014,0.2579999999999999,25.79999999999999,False,1230
2014-15,CENTRAL,HPV - Dose 1,1771,1957,0.905,89.1-91.7,2014,0.04499999999999993,4.499999999999993,False,186
2014-15,CENTRAL,HPV - Dose 2,1628,1957,0.8320000000000001,81.5-84.8,2014,0.11799999999999988,11.799999999999988,False,329
2014-15,CENTRAL,HPV - Dose 3,1410,1957,0.72,70.0-74.0,2014,0.22999999999999998,23.0,False,547
2014-15,NOVA SCOTIA,TDAP,8417,8989,0.9359999999999999,93.1-94.1,2014,0.014000000000000012,1.4000000000000012,False,572
2014-15,NOVA SCOTIA,MEN-C-C,8445,8989,0.9390000000000001,93.4-94.4,2014,0.010999999999999899,1.0999999999999899,False,544
2014-15,NOVA SCOTIA,HBV - Dose 1,7802,8989,0.868,86.1-87.5,2014,0.08199999999999996,8.199999999999996,False,1187
2014-15,NOVA SCOTIA,HBV - Dose 2,6724,8989,0.748,73.9-75.7,2014,0.20199999999999996,20.199999999999996,False,2265
2014-15,NOVA SCOTIA,HPV - Dose 1,3877,4413,0.879,86.9-88.8,2014,0.07099999999999995,7.099999999999995,False,536
2014-15,NOVA SCOTIA,HPV - Dose 2,3671,4413,0.8320000000000001,82.1-84.3,2014,0.11799999999999988,11.799999999999988,False,742
2014-15,NOVA SCOTIA,HPV - Dose 3,3336,4413,0.7559999999999999,74.3-76.8,2014,0.19400000000000006,19.400000000000006,False,1077
2013-14,WESTERN,TDAP,1836,1930,0.951,94.1-96.0,2013,-0.0010000000000000009,-0.10000000000000009,True,94
2013-14,WESTERN,MEN-C-C,1813,1930,0.9390000000000001,92.8-94.9,2013,0.010999999999999899,1.0999999999999899,False,117
2013-14,WESTERN,HBV - Dose 1,1687,1930,0.8740000000000001,85.9-88.8,2013,0.07599999999999985,7.5999999999999845,False,243
2013-14,WESTERN,HBV - Dose 2,1544,1930,0.8,78.2-81.7,2013,0.1499999999999999,14.999999999999991,False,386
2013-14,WESTERN,HPV - Dose 1,799,923,0.866,84.2-88.6,2013,0.08399999999999996,8.399999999999997,False,124
2013-14,WESTERN,HPV - Dose 2,756,923,0.8190000000000001,79.2-84.3,2013,0.1309999999999999,13.099999999999989,False,167
2013-14,WESTERN,HPV - Dose 3,706,923,0.765,73.6-79.1,2013,0.18499999999999994,18.499999999999993,False,217
2013-14,NORTHERN,TDAP,1502,1581,0.95,93.8-96.0,2013,0.0,0.0,True,79
2013-14,NORTHERN,MEN-C-C,1530,1581,0.968,95.8-97.5,2013,-0.018000000000000016,-1.8000000000000016,True,51
2013-14,NORTHERN,HBV - Dose 1,1416,1581,0.8959999999999999,88.0-91.0,2013,0.05400000000000005,5.400000000000005,False,165
2013-14,NORTHERN,HBV - Dose 2,1310,1581,0.8290000000000001,80.9-84.6,2013,0.12099999999999989,12.099999999999989,False,271
2013-14,NORTHERN,HPV - Dose 1,729,782,0.932,91.2-94.8,2013,0.017999999999999905,1.7999999999999905,False,53
2013-14,NORTHERN,HPV - Dose 2,693,782,0.8859999999999999,86.2-90.7,2013,0.06400000000000006,6.400000000000006,False,89
2013-14,NORTHERN,HPV - Dose 3,652,782,0.8340000000000001,80.6-85.8,2013,0.11599999999999988,11.599999999999987,False,130
2013-14,EASTERN,TDAP,1464,1642,0.892,87.6-90.6,2013,0.05799999999999994,5.799999999999994,False,178
2013-14,EASTERN,MEN-C-C,1490,1642,0.907,89.2-92.1,2013,0.04299999999999993,4.299999999999993,False,152
2013-14,EASTERN,HBV - Dose 1,1418,1642,0.8640000000000001,84.6-87.9,2013,0.08599999999999985,8.599999999999985,False,224
2013-14,EASTERN,HBV - Dose 2,1292,1642,0.787,76.6-80.6,2013,0.16299999999999992,16.299999999999994,False,350
2013-14,EASTERN,HPV - Dose 1,698,802,0.87,84.5-89.2,2013,0.07999999999999996,7.9999999999999964,False,104
2013-14,EASTERN,HPV - Dose 2,671,802,0.8370000000000001,80.9-86.1,2013,0.11299999999999988,11.299999999999988,False,131
2013-14,EASTERN,HPV - Dose 3,618,802,0.7709999999999999,74.0-79.8,2013,0.17900000000000005,17.900000000000006,False,184
2013-14,CENTRAL,TDAP,3847,4112,0.9359999999999999,92.8-94.3,2013,0.014000000000000012,1.4000000000000012,False,265
2013-14,CENTRAL,MEN-C-C,3846,4112,0.935,92.7-94.2,2013,0.014999999999999902,1.4999999999999902,False,266
2013-14,CENTRAL,HBV - Dose 1,3302,4112,0.8029999999999999,79.1-81.5,2013,0.14700000000000002,14.700000000000003,False,810
2013-14,CENTRAL,HBV - Dose 2,2822,4112,0.6859999999999999,67.2-70.0,2013,0.264,26.400000000000002,False,1290
